Symbol,Name,IPOyear,Sector,Industry,List
XXII,"22nd Century Group, Inc",n/a,Consumer Non-Durables,Farming/Seeds/Milling,AMEX
FAX,Aberdeen Asia-Pacific Income Fund Inc,1986,n/a,n/a,AMEX
IAF,Aberdeen Australia Equity Fund Inc,n/a,n/a,n/a,AMEX
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",n/a,n/a,n/a,AMEX
FCO,"Aberdeen Global Income Fund, Inc.",1992,n/a,n/a,AMEX
ACU,Acme United Corporation.,1988,Capital Goods,Industrial Machinery/Components,AMEX
ATNM,"Actinium Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals,AMEX
AE,"Adams Resources & Energy, Inc.",n/a,Energy,Oil Refining/Marketing,AMEX
ACY,AeroCentury Corp.,n/a,Technology,Diversified Commercial Services,AMEX
UAVS,"AgEagle Aerial Systems, Inc.",n/a,Capital Goods,Aerospace,AMEX
AGE,"AgeX Therapeutics, Inc.",2018,Health Care,Major Pharmaceuticals,AMEX
AIRI,Air Industries Group,n/a,Capital Goods,Military/Government/Technical,AMEX
AXU,Alexco Resource Corp,n/a,Basic Industries,Precious Metals,AMEX
ALO,Alio Gold Inc.,2011,Basic Industries,Precious Metals,AMEX
AAU,"Almaden Minerals, Ltd.",2015,Basic Industries,Precious Metals,AMEX
APT,"Alpha Pro Tech, Ltd.",n/a,Health Care,Industrial Specialties,AMEX
AAMC,Altisource Asset Management Corp,n/a,Finance,Real Estate,AMEX
AMBO,Ambow Education Holding Ltd.,n/a,Consumer Services,Other Consumer Services,AMEX
DIT,AMCON Distributing Company,n/a,Consumer Non-Durables,Food Distributors,AMEX
AMS,American Shared Hospital Services,n/a,Health Care,Medical Specialities,AMEX
USAS,Americas Gold and Silver Corporation,2017,Basic Industries,Precious Metals,AMEX
AMPE,"Ampio Pharmaceuticals, Inc.",n/a,Health Care,Major Pharmaceuticals,AMEX
ANVS,"Annovis Bio, Inc.",2020,Health Care,Major Pharmaceuticals,AMEX
ARMP,"Armata Pharmaceuticals, Inc.",n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
AKG,Asanko Gold Inc.,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),AMEX
AINC,Ashford Inc.,2014,Consumer Services,Professional Services,AMEX
AUG,Auryn Resources Inc.,n/a,Basic Industries,Precious Metals,AMEX
AWX,Avalon Holdings Corporation,n/a,Public Utilities,Environmental Services,AMEX
ASM,Avino Silver,n/a,Basic Industries,Precious Metals,AMEX
BTG,B2Gold Corp,n/a,Basic Industries,Precious Metals,AMEX
BTN,"Ballantyne Strong, Inc",n/a,Miscellaneous,Industrial Machinery/Components,AMEX
BCV,Bancroft Fund Limited,n/a,n/a,n/a,AMEX
BCV^A,Bancroft Fund Limited,n/a,n/a,n/a,AMEX
BHB,"Bar Harbor Bankshares, Inc.",n/a,Finance,Major Banks,AMEX
BRN,"Barnwell Industries, Inc.",n/a,Energy,Oil & Gas Production,AMEX
BATL,Battalion Oil Corporation,n/a,Energy,Oil & Gas Production,AMEX
BIOX,Bioceres Crop Solutions Corp.,2018,Basic Industries,Agricultural Chemicals,AMEX
BIOX.WS,Bioceres Crop Solutions Corp.,n/a,n/a,n/a,AMEX
PHGE,BiomX Inc.,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),AMEX
PHGE.U,BiomX Inc.,2018,n/a,n/a,AMEX
PHGE.WS,BiomX Inc.,n/a,n/a,n/a,AMEX
BPMX,BioPharmX Corporation,2015,Health Care,Major Pharmaceuticals,AMEX
BGI,Birks Group Inc.,n/a,Consumer Services,Consumer Specialties,AMEX
BKTI,BK Technologies Corporation,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,AMEX
BDR,"Blonder Tongue Laboratories, Inc.",n/a,Technology,Radio And Television Broadcasting And Communications Equipment,AMEX
BRBS,"Blue Ridge Bankshares, Inc.",n/a,Finance,Major Banks,AMEX
BRG,"Bluerock Residential Growth REIT, Inc.",2014,Consumer Services,Real Estate Investment Trusts,AMEX
